Array IDX,Name,Card 1,Card 2,Shape,Hand,Rank
844,Qd7d,Qd,7d,Suited,Q7s,61
845,Qd7h,Qd,7h,Offsuit,Q7o,131
846,Qd7s,Qd,7s,Offsuit,Q7o,131
847,Qd8c,Qd,8c,Offsuit,Q8o,115
848,Qd8d,Qd,8d,Suited,Q8s,43
849,Qd8h,Qd,8h,Offsuit,Q8o,115
850,Qd8s,Qd,8s,Offsuit,Q8o,115
851,Qd9c,Qd,9c,Offsuit,Q9o,83
852,Qd9d,Qd,9d,Suited,Q9s,25
853,Qd9h,Qd,9h,Offsuit,Q9o,83
854,Qd9s,Qd,9s,Offsuit,Q9o,83
855,QdTc,Qd,Tc,Offsuit,QTo,49
856,QdTd,Qd,Td,Suited,QTs,15
857,QdTh,Qd,Th,Offsuit,QTo,49
858,QdTs,Qd,Ts,Offsuit,QTo,49
859,QdJc,Qd,Jc,Offsuit,QJo,35
860,QdJd,Qd,Jd,Suited,QJs,13
861,QdJh,Qd,Jh,Offsuit,QJo,35
862,QdJs,Qd,Js,Offsuit,QJo,35
863,QhQd,Qd,Qh,Pair,QQ,3
864,QsQd,Qd,Qs,Pair,QQ,3
865,Qh2c,Qh,2c,Offsuit,Q2o,146
866,Qh2d,Qh,2d,Offsuit,Q2o,146
867,Qh2h,Qh,2h,Suited,Q2s,75
868,Qh2s,Qh,2s,Offsuit,Q2o,146
869,Qh3c,Qh,3c,Offsuit,Q3o,144
870,Qh3d,Qh,3d,Offsuit,Q3o,144
871,Qh3h,Qh,3h,Suited,Q3s,72
872,Qh3s,Qh,3s,Offsuit,Q3o,144
873,Qh4c,Qh,4c,Offsuit,Q4o,143
874,Qh4d,Qh,4d,Offsuit,Q4o,143
875,Qh4h,Qh,4h,Suited,Q4s,71
876,Qh4s,Qh,4s,Offsuit,Q4o,143
877,Qh5c,Qh,5c,Offsuit,Q5o,141
878,Qh5d,Qh,5d,Offsuit,Q5o,141
879,Qh5h,Qh,5h,Suited,Q5s,69
880,Qh5s,Qh,5s,Offsuit,Q5o,141
881,Qh6c,Qh,6c,Offsuit,Q6o,137
882,Qh6d,Qh,6d,Offsuit,Q6o,137
883,Qh6h,Qh,6h,Suited,Q6s,66
884,Qh6s,Qh,6s,Offsuit,Q6o,137
885,Qh7c,Qh,7c,Offsuit,Q7o,131
886,Qh7d,Qh,7d,Offsuit,Q7o,131
887,Qh7h,Qh,7h,Suited,Q7s,61
888,Qh7s,Qh,7s,Offsuit,Q7o,131
889,Qh8c,Qh,8c,Offsuit,Q8o,115
890,Qh8d,Qh,8d,Offsuit,Q8o,115
891,Qh8h,Qh,8h,Suited,Q8s,43
892,Qh8s,Qh,8s,Offsuit,Q8o,115
893,Qh9c,Qh,9c,Offsuit,Q9o,83
